name,brand,model,price,currency,old_price,discount,rating,reviews,url,source_site,scraped_at
Apple iPhone 17 Pro Max / 256 Go / Argent / Smartphone 5G-LTE IP68 Dual SIM - A19 Pro Hexa-Core - Écran Super Retina XDR OLED 6.9 pouces 1320 x 2868 - NFC/Bluetooth 6 - iOS 26 Neuf,apple,Unknown,15800.0,Dhs,18899.0,16%,,,https://www.jumia.ma/apple-iphone-17-pro-max-256-go-argent-smartphone-5g-lte-ip68-dual-sim-a19-pro-hexa-core-ecran-super-retina-xdr-oled-6.9-pouces-1320-x-2868-nfcbluetooth-6-ios-26-neuf-67400773.html,jumia_ma,2026-04-24T14:51:14.581440
Apple iPhone 17 Pro Max / 512GB / Orange Cosmique / Smartphone 5G-LTE IP68 Dual SIM - A19 Pro Hexa-Core - Écran Super Retina XDR OLED 6.9-inch 1320 x 2868 - NFC/Bluetooth 6 - iOS 26 Neuf,apple,Unknown,19275.0,Dhs,21499.0,10%,,,https://www.jumia.ma/apple-iphone-17-pro-max-512gb-orange-cosmique-smartphone-5g-lte-ip68-dual-sim-a19-pro-hexa-core-ecran-super-retina-xdr-oled-6.9-inch-1320-x-2868-nfcbluetooth-6-ios-26-neuf-67401713.html,jumia_ma,2026-04-24T14:51:14.582286
"Apple iPhone 17 Pro Max 512 Go 6,9"" 12 Go RAM Puce A19 Pro Orange Cosmique iOS",apple,Unknown,19175.0,Dhs,25499.0,25%,,,https://www.jumia.ma/apple-iphone-17-pro-max-512-go-69-12-go-ram-puce-a19-pro-orange-cosmique-ios-67237739.html,jumia_ma,2026-04-24T14:51:14.583032
"Apple iPhone 15 – 6,1"" – 128 Go – 6 Go RAM – Pink",apple,Iphone 15,7775.0,Dhs,13000.0,40%,1,1,https://www.jumia.ma/apple-iphone-15-61-128-go-6-go-ram-pink-64037234.html,jumia_ma,2026-04-24T14:51:14.584817
"Apple iPhone 15 Pro Max 512 Go - Titanium Naturel - 8 Go RAM Ecran XDR OLED 6.7"" - New",apple,Iphone 15 Pro Max,11399.0,Dhs,19500.0,42%,,,https://www.jumia.ma/apple-iphone-15-pro-max-512-go-titanium-naturel-8-go-ram-ecran-xdr-oled-6.7-new-64686323.html,jumia_ma,2026-04-24T14:51:14.585979
"Apple iPhone 16 – 6,1"" – 128 Go – 8 Go RAM – Rose",apple,Iphone 16,9175.0,Dhs,11999.0,24%,4,1,https://www.jumia.ma/apple-iphone-16-61-128-go-8-go-ram-rose-65767715.html,jumia_ma,2026-04-24T14:51:14.586914
Apple iPhone 17 Pro Max / 256GB / Orange Cosmique / Smartphone 5G-LTE IP68 Dual SIM - A19 Pro Hexa-Core - Écran Super Retina XDR OLED 6.9-inch 1320 x 2868 - NFC/Bluetooth 6 - iOS 26 Neuf,apple,Unknown,15800.0,Dhs,18899.0,16%,,,https://www.jumia.ma/apple-iphone-17-pro-max-256gb-orange-cosmique-smartphone-5g-lte-ip68-dual-sim-a19-pro-hexa-core-ecran-super-retina-xdr-oled-6.9-inch-1320-x-2868-nfcbluetooth-6-ios-26-neuf-67400683.html,jumia_ma,2026-04-24T14:51:14.587755
"Apple iPhone 17 Pro 256 Go 6,3"" 12 Go RAM Puce A19 Pro Orange Cosmique iOS",apple,Unknown,14675.0,Dhs,19999.0,27%,,,https://www.jumia.ma/apple-iphone-17-pro-256-go-63-12-go-ram-puce-a19-pro-orange-cosmique-ios-67234005.html,jumia_ma,2026-04-24T14:51:14.588479
Apple iPhone 16e 128 Go Noir 8 Go RAM 48 Mpx 6.1 Puce A18 iOS Bouton Action 5G,apple,Iphone 16,6475.0,Dhs,8999.0,28%,5,2,https://www.jumia.ma/apple-iphone-16e-128-go-noir-8-go-ram-48-mpx-6.1-puce-a18-ios-bouton-action-5g-66560995.html,jumia_ma,2026-04-24T14:51:14.589660
"Apple iPhone 17 Pro Max 512 Go 6,9"" 12 Go RAM Puce A19 Pro Argent iOS",apple,Unknown,19175.0,Dhs,25499.0,25%,,,https://www.jumia.ma/apple-iphone-17-pro-max-512-go-69-12-go-ram-puce-a19-pro-argent-ios-67246854.html,jumia_ma,2026-04-24T14:51:14.590754
