name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
"Samsung Galaxy A36 5G, Smartphone Android, 128 Go, Smartphone déverrouillé, Noir",samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T07:41:14.091973
"Samsung Galaxy A17 5G A176 Dual Sim 4GB RAM 128GB - Grey - 128 GB [Energieklasse B] (SM-A176BZAAEUE) - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:41:14.303208
Samsung Galaxy A17 5G 128GB/4GB Double SIM Bleu,samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:41:14.480352
"Samsung Galaxy A17 5G A176 Dual Sim 4GB RAM 128GB - Black (SM-A176BZKAEUE) - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:41:14.731941
"Samsung Galaxy A36 5G, Smartphone Android, 128 Go, Smartphone déverrouillé, Lime",samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T07:41:14.902676
Samsung GALAXY S25 Ultra SM-S938BZBGEUB,samsung,S25 Ultra,,,EUR,,,,,amazon_fr,2026-04-21T07:41:15.228328
Samsung GALAXY A16 LTE SM-A165FZKBEUB,samsung,A16,,,EUR,,,,,amazon_fr,2026-04-21T07:41:15.417544
"Samsung Galaxy XCover 7 EE 128GB 6RAM EU Black, SM-G556BZKDEEE - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:15.626961
Samsung Galaxy S25 Edge Double Sim 12 Go RAM 512 Go Noir Onyx UE,samsung,S25,,,EUR,,,,,amazon_fr,2026-04-21T07:41:15.801726
"Samsung Galaxy Enterprise Edition 13,5 cm (5.3"") Android 11 4G 4 Go 64 Go 3000 mAh Noir",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:15.972086
"Samsung Galaxy S21 Fe 5G, Dual, 128GB 6GB Ram, Lavender",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:16.217735
"Samsung A16 (A165)/DS/128GB Green EU, W129015872 - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A16,,,EUR,,,,,amazon_fr,2026-04-21T07:41:16.448973
"Samsung Galaxy A16 A165 Dual Sim 4GB RAM 128GB - Grey - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A16,,,EUR,,,,,amazon_fr,2026-04-21T07:41:16.695369
"Samsung A566 Galaxy A56 Enterprise Edition (6.7'' - 8/128GB) Graphite - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A56,,,EUR,,,,,amazon_fr,2026-04-21T07:41:16.895058
"Samsung S901B/DS Galaxy S22 5G, Dual, 128GB 8GB RAM, Phantom Black",samsung,Unknown,861.0,,EUR,,,,,amazon_fr,2026-04-21T07:41:17.154682
Samsung Galaxy Z Fold6 5G 12 GB/256 GB Schwarz (Crafted Black) Dual-SIM,samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:17.343669
"Samsung Galaxy A36 5G 6GB-128GB Negro (Awesome Black) Dual SIM SM-A366 - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T07:41:17.528935
"Samsung Galaxy SM-G525F/DS 13,5 cm (5.3"") Double SIM Android 11 4G USB Type-C 4 Go 64 Go 3000 mAh Noir",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:17.858738
Samsung Galaxy A33 5G unlocked 6GB/128GB Blanco (Awesome White) Dual SIM A336,samsung,Unknown,456.3,,EUR,,,,,amazon_fr,2026-04-21T07:41:18.092203
Samsung Galaxy XCover 4S Enterprise Edition 32Go Dual-Sim Noir,samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:18.274738
"Samsung A266 Galaxy A26 (6.7'' - 8/256GB) Black - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A26,,,EUR,,,,,amazon_fr,2026-04-21T07:41:18.458090
"Smartphone Samsung A17 SM-A175F 6,7"" 4 GB RAM 128 GB Azzurro Azzurro Chiaro",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:41:18.661896
Samsung Galaxy A17 4G 256GB/8GB Dual SIM Gris,samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:41:18.902181
"SAMSUNG Galaxy A40 - Smartphone Portable débloqué 4G (Ecran: 5, 9 Pouces - 64 Go - Double Nano-SIM - Android) - Noir - Version Française",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:19.101702
Samsung Galaxy S21 5G - Phantom Gris - 128Go - Smartphone Android débloqué - Version FR - Ecouteurs AKG inclus,samsung,Unknown,630.04,,EUR,,,,,amazon_fr,2026-04-21T07:41:19.331755
"Samsung Galaxy S22 Ultra 5G, Caricatore incluso, Cellulare Smartphone Android senza SIM 128GB Display 6.8’’¹ Dynamic AMOLED 2X, 5 Fotocamere, 108MP, Phantom Black 2022 [Versione Italiana]",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:30.463371
